Freq	V(n002)
1.00000000000000e+000	(2.93389197748203e+001dB,1.25881692367412e+002°)
1.25892541179417e+000	(2.79276690999017e+001dB,1.19882131251766e+002°)
1.58489319246111e+000	(2.63449186280842e+001dB,1.14533324526780e+002°)
1.99526231496888e+000	(2.46304295278274e+001dB,1.09928296578790e+002°)
2.51188643150958e+000	(2.28207375552637e+001dB,1.06065644293286e+002°)
3.16227766016838e+000	(2.09452515326950e+001dB,1.02884946182407e+002°)
3.98107170553497e+000	(1.90256919954109e+001dB,1.00298536981786e+002°)
5.01187233627272e+000	(1.70772239965884e+001dB,9.82128531978229e+001°)
6.30957344480194e+000	(1.51100559810879e+001dB,9.65400721903425e+001°)
7.94328234724282e+000	(1.31309000544057e+001dB,9.52031345979482e+001°)
1.00000000000000e+001	(1.11441035165710e+001dB,9.41369906309851e+001°)
1.25892541179417e+001	(9.15245516548553e+000dB,9.32879843735502e+001°)
1.58489319246111e+001	(7.15773317537754e+000dB,9.26124795400971e+001°)
1.99526231496888e+001	(5.16106699515621e+000dB,9.20752971310610e+001°)
2.51188643150958e+001	(3.16317231379033e+000dB,9.16482294962663e+001°)
3.16227766016838e+001	(1.16450200283883e+000dB,9.13087342435686e+001°)
3.98107170553498e+001	(-8.34657546411798e-001dB,9.10388326382971e+001°)
5.01187233627273e+001	(-2.83412517034401e+000dB,9.08242019092303e+001°)
6.30957344480194e+001	(-4.83378605412683e+000dB,9.06534374978095e+001°)
7.94328234724283e+001	(-6.83356703870290e+000dB,9.05174582674656e+001°)
1.00000000000000e+002	(-8.83342086515808e+000dB,9.04090291935785e+001°)
1.25892541179417e+002	(-1.08333159881241e+001dB,9.03223792298856e+001°)
1.58489319246112e+002	(-1.28332297723979e+001dB,9.02528955658404e+001°)
1.99526231496888e+002	(-1.48331436094507e+001dB,9.01968787796713e+001°)
2.51188643150958e+002	(-1.68330389018429e+001dB,9.01513462459962e+001°)
3.16227766016838e+002	(-1.88328930497561e+001dB,9.01138735348141e+001°)
3.98107170553498e+002	(-2.08326745740614e+001dB,9.00824654722500e+001°)
5.01187233627273e+002	(-2.28323363243738e+001dB,9.00554500811725e+001°)
6.30957344480194e+002	(-2.48318053086310e+001dB,9.00313898483268e+001°)
7.94328234724283e+002	(-2.68309669552876e+001dB,9.00090057443171e+001°)
1.00000000000000e+003	(-2.88296404270835e+001dB,8.99871102338355e+001°)
1.25892541179417e+003	(-3.08275396979225e+001dB,8.99645462639198e+001°)
1.58489319246112e+003	(-3.28242120917938e+001dB,8.99401300801134e+001°)
1.99526231496888e+003	(-3.48189412692318e+001dB,8.99125970024906e+001°)
2.51188643150959e+003	(-3.68105943514190e+001dB,8.98805515753601e+001°)
3.16227766016839e+003	(-3.87973817585899e+001dB,8.98424278876216e+001°)
3.98107170553498e+003	(-4.07764818451260e+001dB,8.97964744068643e+001°)
5.01187233627273e+003	(-4.27434590216261e+001dB,8.97407940916090e+001°)
6.30957344480195e+003	(-4.46913736270469e+001dB,8.96735010403656e+001°)
7.94328234724283e+003	(-4.66094492790901e+001dB,8.95931083185567e+001°)
1.00000000000000e+004	(-4.84811474919880e+001dB,8.94993455551398e+001°)
1.25892541179417e+004	(-5.02815498743810e+001dB,8.93947094040279e+001°)
1.58489319246112e+004	(-5.19741717573285e+001dB,8.92870998796588e+001°)
1.99526231496889e+004	(-5.35078991169668e+001dB,8.91936585683006e+001°)
2.51188643150959e+004	(-5.48157834569501e+001dB,8.91449515618055e+001°)
3.16227766016839e+004	(-5.58186333994358e+001dB,8.91866098764082e+001°)
3.98107170553498e+004	(-5.64362976292775e+001dB,8.93735752397493e+001°)
5.01187233627274e+004	(-5.66060208392101e+001dB,8.97539457076304e+001°)
6.30957344480195e+004	(-5.63004772882762e+001dB,9.03475238948741e+001°)
7.94328234724284e+004	(-5.55343143801555e+001dB,9.11308340758644e+001°)
1.00000000000000e+005	(-5.43541923478274e+001dB,9.20330569635242e+001°)
