time	V(n002)
0.000000000000000e+000	9.997211e+000
1.000000000000000e-001	9.997211e+000
1.000000080294819e-001	9.997262e+000
1.000000160589638e-001	9.997312e+000
1.000000240884458e-001	9.997362e+000
1.000000321179277e-001	9.997412e+000
1.000000401474096e-001	9.997462e+000
1.000000481768915e-001	9.997512e+000
1.000000562063735e-001	9.997562e+000
1.000000940476272e-001	9.997785e+000
1.000001318888810e-001	9.997979e+000
1.000001697301348e-001	9.998143e+000
1.000002075713886e-001	9.998277e+000
1.000002454126423e-001	9.998382e+000
1.000002832538961e-001	9.998457e+000
1.000003210951499e-001	9.998503e+000
1.000004088551899e-001	9.998540e+000
1.000004993307829e-001	9.998505e+000
1.000008290943375e-001	9.998247e+000
1.000010000000000e-001	9.998170e+000
1.000010364996152e-001	9.997932e+000
1.000010782134612e-001	9.997681e+000
1.000011616411532e-001	9.997260e+000
1.000012507104282e-001	9.996946e+000
1.000013323529879e-001	9.996803e+000
1.000014337231567e-001	9.996765e+000
1.000015371254663e-001	9.996807e+000
1.000017676131139e-001	9.996966e+000
1.000019177825756e-001	9.997031e+000
1.000021584207600e-001	9.997060e+000
1.000033765046258e-001	9.996959e+000
1.000045945884915e-001	9.996856e+000
1.000058126723573e-001	9.996749e+000
1.000070307562230e-001	9.996641e+000
1.000082488400887e-001	9.996530e+000
1.000094669239545e-001	9.996416e+000
1.000106850078202e-001	9.996300e+000
1.105541981510801e-001	9.065311e+000
1.210977112943400e-001	8.173252e+000
1.316412244375999e-001	7.320125e+000
1.421847375808597e-001	6.505927e+000
1.527282507241196e-001	5.730661e+000
1.632717638673795e-001	4.994325e+000
1.738152770106393e-001	4.296919e+000
1.748152770106393e-001	4.232073e+000
1.784132374376909e-001	4.001340e+000
1.820111978647424e-001	3.774196e+000
1.856091582917939e-001	3.550642e+000
1.892071187188454e-001	3.330676e+000
1.928050791458970e-001	3.114301e+000
1.964030395729485e-001	2.901514e+000
2.000010000000000e-001	2.692317e+000
2.000010149263805e-001	2.692220e+000
2.000010298527609e-001	2.692126e+000
2.000010447791414e-001	2.692033e+000
2.000010597055218e-001	2.691942e+000
2.000010746319023e-001	2.691853e+000
2.000010895582828e-001	2.691765e+000
2.000011044846632e-001	2.691679e+000
2.000011582090715e-001	2.691420e+000
2.000012217393213e-001	2.691197e+000
2.000012892640716e-001	2.691048e+000
2.000013773464736e-001	2.690969e+000
2.000014606187657e-001	2.690974e+000
2.000018247852089e-001	2.691222e+000
2.000020000000000e-001	2.691302e+000
2.000020525644373e-001	2.691633e+000
2.000021226503538e-001	2.692022e+000
2.000022034530778e-001	2.692368e+000
2.000022858198138e-001	2.692584e+000
2.000023725837551e-001	2.692673e+000
2.000024815114508e-001	2.692663e+000
2.000027926913962e-001	2.692444e+000
2.000029368772688e-001	2.692381e+000
2.000031633774627e-001	2.692344e+000
2.000039668873759e-001	2.692362e+000
2.000047703972890e-001	2.692381e+000
2.000055739072022e-001	2.692404e+000
2.000063774171153e-001	2.692428e+000
2.000071809270285e-001	2.692455e+000
2.000079844369416e-001	2.692484e+000
2.000087879468548e-001	2.692516e+000
2.142932468115898e-001	3.147579e+000
2.285777056763249e-001	3.577995e+000
2.428621645410599e-001	3.983763e+000
2.571466234057949e-001	4.364885e+000
2.714310822705300e-001	4.721358e+000
2.857155411352650e-001	5.053185e+000
3.000000000000000e-001	5.360364e+000
3.000000142958527e-001	5.360455e+000
3.000000285917052e-001	5.360545e+000
3.000000428875578e-001	5.360634e+000
3.000000571834104e-001	5.360721e+000
3.000000714792630e-001	5.360807e+000
3.000000857751156e-001	5.360891e+000
3.000001000709682e-001	5.360973e+000
3.000001586673533e-001	5.361256e+000
3.000002227790247e-001	5.361478e+000
3.000002906793028e-001	5.361623e+000
3.000003798024521e-001	5.361698e+000
3.000004635066743e-001	5.361688e+000
3.000008249017704e-001	5.361428e+000
3.000010000000000e-001	5.361342e+000
3.000010525294689e-001	5.361009e+000
3.000011225687607e-001	5.360617e+000
3.000012034019314e-001	5.360268e+000
3.000012857755687e-001	5.360050e+000
3.000013725359574e-001	5.359958e+000
3.000014818314702e-001	5.359963e+000
3.000017948164490e-001	5.360172e+000
3.000019427631552e-001	5.360230e+000
3.000021862867686e-001	5.360258e+000
3.000035174661112e-001	5.360178e+000
3.106620744417732e-001	4.637470e+000
3.213206314174352e-001	3.945271e+000
3.319791883930973e-001	3.283580e+000
3.426377453687592e-001	2.652397e+000
3.532963023444213e-001	2.051721e+000
3.639548593200833e-001	1.481554e+000
3.746134162957453e-001	9.418946e-001
3.776134162957453e-001	7.937398e-001
3.806134162957453e-001	6.475255e-001
3.836134162957453e-001	5.032517e-001
3.866134162957453e-001	3.609184e-001
3.896134162957453e-001	2.205256e-001
3.926134162957453e-001	8.207322e-002
3.956134162957453e-001	-5.443862e-002
3.962402140771485e-001	-8.274236e-002
3.968670118585518e-001	-1.109677e-001
3.974938096399551e-001	-1.391146e-001
3.981206074213584e-001	-1.671831e-001
3.987474052027616e-001	-1.951732e-001
3.993742029841649e-001	-2.230848e-001
4.000010007655681e-001	-2.509181e-001
4.000010267586355e-001	-2.510905e-001
4.000010527517028e-001	-2.512524e-001
4.000010787447701e-001	-2.514037e-001
4.000011047378375e-001	-2.515446e-001
4.000011307309049e-001	-2.516749e-001
4.000011567239722e-001	-2.517947e-001
4.000011827170396e-001	-2.519040e-001
4.000012539082170e-001	-2.521108e-001
4.000013265290370e-001	-2.522255e-001
4.000014145987151e-001	-2.522603e-001
4.000015052229001e-001	-2.522255e-001
4.000018284486213e-001	-2.519870e-001
4.000020000000000e-001	-2.519162e-001
4.000020694601749e-001	-2.514809e-001
4.000021447261888e-001	-2.510793e-001
4.000022136470405e-001	-2.508077e-001
4.000023059349614e-001	-2.505982e-001
4.000023899889355e-001	-2.505291e-001
4.000024875025423e-001	-2.505488e-001
4.000027947530619e-001	-2.507640e-001
4.000030146977184e-001	-2.508414e-001
4.000031997065348e-001	-2.508489e-001
4.000033847153512e-001	-2.508528e-001
4.000035697241676e-001	-2.508532e-001
4.000037547329841e-001	-2.508499e-001
4.000039397418005e-001	-2.508430e-001
4.000041247506169e-001	-2.508325e-001
4.000043097594333e-001	-2.508184e-001
4.026717683769761e-001	-1.273862e-001
4.053392269945189e-001	-5.392736e-003
4.080066856120617e-001	1.151619e-001
4.106741442296046e-001	2.342776e-001
4.133416028471474e-001	3.519546e-001
4.160090614646902e-001	4.681927e-001
4.186765200822330e-001	5.829920e-001
4.293908057965187e-001	1.028122e+000
4.401050915108045e-001	1.454372e+000
4.508193772250902e-001	1.861742e+000
4.615336629393759e-001	2.250232e+000
4.722479486536616e-001	2.619842e+000
4.829622343679474e-001	2.970573e+000
4.936765200822331e-001	3.302423e+000
4.946765200822331e-001	3.332783e+000
5.000000000000000e-001	3.492137e+000
5.000000128351061e-001	3.492219e+000
5.000000256702123e-001	3.492300e+000
5.000000385053184e-001	3.492380e+000
5.000000513404245e-001	3.492459e+000
5.000000641755306e-001	3.492537e+000
5.000000770106368e-001	3.492614e+000
5.000000898457429e-001	3.492690e+000
5.000001317050324e-001	3.492912e+000
5.000001711383008e-001	3.493081e+000
5.000002412867268e-001	3.493301e+000
5.000003108242876e-001	3.493427e+000
5.000004004539369e-001	3.493478e+000
5.000004871383637e-001	3.493453e+000
5.000005471507200e-001	3.493402e+000
5.000006071630763e-001	3.493354e+000
5.000006671754326e-001	3.493309e+000
5.000007271877889e-001	3.493267e+000
5.000007872001452e-001	3.493228e+000
5.000008472125015e-001	3.493192e+000
