time	V(n003)
0.000000000000000e+000	-1.000000e-001
1.000000000000000e-001	-1.000000e-001
1.000000080294819e-001	-9.839410e-002
1.000000160589638e-001	-9.678820e-002
1.000000240884458e-001	-9.518231e-002
1.000000321179277e-001	-9.357641e-002
1.000000401474096e-001	-9.197051e-002
1.000000481768915e-001	-9.036462e-002
1.000000562063735e-001	-8.875872e-002
1.000000940476272e-001	-8.119047e-002
1.000001318888810e-001	-7.362222e-002
1.000001697301348e-001	-6.605397e-002
1.000002075713886e-001	-5.848572e-002
1.000002454126423e-001	-5.091747e-002
1.000002832538961e-001	-4.334922e-002
1.000003210951499e-001	-3.578097e-002
1.000004088551899e-001	-1.822896e-002
1.000004993307829e-001	-1.338430e-004
1.000008290943375e-001	6.581887e-002
1.000010000000000e-001	1.000000e-001
1.000010364996152e-001	1.000000e-001
1.000010782134612e-001	1.000000e-001
1.000011616411532e-001	1.000000e-001
1.000012507104282e-001	1.000000e-001
1.000013323529879e-001	1.000000e-001
1.000014337231567e-001	1.000000e-001
1.000015371254663e-001	1.000000e-001
1.000017676131139e-001	1.000000e-001
1.000019177825756e-001	1.000000e-001
1.000021584207600e-001	1.000000e-001
1.000033765046258e-001	1.000000e-001
1.000045945884915e-001	1.000000e-001
1.000058126723573e-001	1.000000e-001
1.000070307562230e-001	1.000000e-001
1.000082488400887e-001	1.000000e-001
1.000094669239545e-001	1.000000e-001
1.000106850078202e-001	1.000000e-001
1.105541981510801e-001	1.000000e-001
1.210977112943400e-001	1.000000e-001
1.316412244375999e-001	1.000000e-001
1.421847375808597e-001	1.000000e-001
1.527282507241196e-001	1.000000e-001
1.632717638673795e-001	1.000000e-001
1.738152770106393e-001	1.000000e-001
1.748152770106393e-001	1.000000e-001
1.784132374376909e-001	1.000000e-001
1.820111978647424e-001	1.000000e-001
1.856091582917939e-001	1.000000e-001
1.892071187188454e-001	1.000000e-001
1.928050791458970e-001	1.000000e-001
1.964030395729485e-001	1.000000e-001
2.000010000000000e-001	1.000000e-001
2.000010149263805e-001	9.701472e-002
2.000010298527609e-001	9.402945e-002
2.000010447791414e-001	9.104417e-002
2.000010597055218e-001	8.805889e-002
2.000010746319023e-001	8.507362e-002
2.000010895582828e-001	8.208834e-002
2.000011044846632e-001	7.910307e-002
2.000011582090715e-001	6.835818e-002
2.000012217393213e-001	5.565213e-002
2.000012892640716e-001	4.214719e-002
2.000013773464736e-001	2.453071e-002
2.000014606187657e-001	7.876247e-003
2.000018247852089e-001	-6.495705e-002
2.000020000000000e-001	-1.000000e-001
2.000020525644373e-001	-1.000000e-001
2.000021226503538e-001	-1.000000e-001
2.000022034530778e-001	-1.000000e-001
2.000022858198138e-001	-1.000000e-001
2.000023725837551e-001	-1.000000e-001
2.000024815114508e-001	-1.000000e-001
2.000027926913962e-001	-1.000000e-001
2.000029368772688e-001	-1.000000e-001
2.000031633774627e-001	-1.000000e-001
2.000039668873759e-001	-1.000000e-001
2.000047703972890e-001	-1.000000e-001
2.000055739072022e-001	-1.000000e-001
2.000063774171153e-001	-1.000000e-001
2.000071809270285e-001	-1.000000e-001
2.000079844369416e-001	-1.000000e-001
2.000087879468548e-001	-1.000000e-001
2.142932468115898e-001	-1.000000e-001
2.285777056763249e-001	-1.000000e-001
2.428621645410599e-001	-1.000000e-001
2.571466234057949e-001	-1.000000e-001
2.714310822705300e-001	-1.000000e-001
2.857155411352650e-001	-1.000000e-001
3.000000000000000e-001	-1.000000e-001
3.000000142958527e-001	-9.714083e-002
3.000000285917052e-001	-9.428166e-002
3.000000428875578e-001	-9.142249e-002
3.000000571834104e-001	-8.856332e-002
3.000000714792630e-001	-8.570415e-002
3.000000857751156e-001	-8.284498e-002
3.000001000709682e-001	-7.998580e-002
3.000001586673533e-001	-6.826653e-002
3.000002227790247e-001	-5.544420e-002
3.000002906793028e-001	-4.186414e-002
3.000003798024521e-001	-2.403951e-002
3.000004635066743e-001	-7.298665e-003
3.000008249017704e-001	6.498035e-002
3.000010000000000e-001	1.000000e-001
3.000010525294689e-001	1.000000e-001
3.000011225687607e-001	1.000000e-001
3.000012034019314e-001	1.000000e-001
3.000012857755687e-001	1.000000e-001
3.000013725359574e-001	1.000000e-001
3.000014818314702e-001	1.000000e-001
3.000017948164490e-001	1.000000e-001
3.000019427631552e-001	1.000000e-001
3.000021862867686e-001	1.000000e-001
3.000035174661112e-001	1.000000e-001
3.106620744417732e-001	1.000000e-001
3.213206314174352e-001	1.000000e-001
3.319791883930973e-001	1.000000e-001
3.426377453687592e-001	1.000000e-001
3.532963023444213e-001	1.000000e-001
3.639548593200833e-001	1.000000e-001
3.746134162957453e-001	1.000000e-001
3.776134162957453e-001	1.000000e-001
3.806134162957453e-001	1.000000e-001
3.836134162957453e-001	1.000000e-001
3.866134162957453e-001	1.000000e-001
3.896134162957453e-001	1.000000e-001
3.926134162957453e-001	1.000000e-001
3.956134162957453e-001	1.000000e-001
3.962402140771485e-001	1.000881e-001
3.968670118585518e-001	1.001395e-001
3.974938096399551e-001	1.001543e-001
3.981206074213584e-001	1.001324e-001
3.987474052027616e-001	1.000739e-001
3.993742029841649e-001	9.997869e-002
4.000010007655681e-001	9.984688e-002
4.000010267586355e-001	9.464827e-002
4.000010527517028e-001	8.944966e-002
4.000010787447701e-001	8.425105e-002
4.000011047378375e-001	7.905243e-002
4.000011307309049e-001	7.385382e-002
4.000011567239722e-001	6.865521e-002
4.000011827170396e-001	6.345659e-002
4.000012539082170e-001	4.921836e-002
4.000013265290370e-001	3.469419e-002
4.000014145987151e-001	1.708026e-002
4.000015052229001e-001	-1.044580e-003
4.000018284486213e-001	-6.568973e-002
4.000020000000000e-001	-1.000000e-001
4.000020694601749e-001	-1.000000e-001
4.000021447261888e-001	-1.000000e-001
4.000022136470405e-001	-1.000000e-001
4.000023059349614e-001	-1.000000e-001
4.000023899889355e-001	-1.000000e-001
4.000024875025423e-001	-1.000000e-001
