time	V(n002)
0.000000000000000e+000	-4.800532e+000
5.000000000000000e-003	-4.800532e+000
5.000000000000035e-003	-4.800532e+000
5.000000000000104e-003	-4.800532e+000
5.000108205828984e-003	-4.798296e+000
5.000216411657864e-003	-4.788982e+000
5.000324617486744e-003	-4.772590e+000
5.000432823315624e-003	-4.749119e+000
5.000541029144504e-003	-4.718570e+000
5.000649234973384e-003	-4.680943e+000
5.000757440802263e-003	-4.636237e+000
5.001000000000000e-003	-4.542185e+000
5.001024255919774e-003	-4.532378e+000
5.001072767759321e-003	-4.512733e+000
5.007251704062543e-003	-2.008419e+000
5.010345483023883e-003	-7.984759e-001
5.015678097103969e-003	1.128458e+000
5.020513722550502e-003	2.581658e+000
5.025072189574873e-003	3.551702e+000
5.029813686421439e-003	4.200554e+000
5.031639737961849e-003	4.357231e+000
5.033821125040603e-003	4.476197e+000
5.036615133957638e-003	4.584805e+000
5.039290049022886e-003	4.656071e+000
5.044453181631614e-003	4.733713e+000
5.049678237585469e-003	4.757975e+000
5.054903293539324e-003	4.777264e+000
5.060128349493179e-003	4.791582e+000
5.065353405447034e-003	4.800929e+000
5.070578461400889e-003	4.805303e+000
5.075803517354744e-003	4.804705e+000
5.081028573308599e-003	4.799136e+000
1.000100000000000e-002	4.799403e+000
1.000100219902052e-002	4.799403e+000
1.000100659706157e-002	4.799403e+000
1.000130549766864e-002	4.775836e+000
1.000177954008147e-002	4.626777e+000
1.000200000000000e-002	4.540967e+000
1.000202204599185e-002	4.532054e+000
1.000206613797556e-002	4.514204e+000
1.000801079833468e-002	2.103532e+000
1.001089915048222e-002	9.725800e-001
1.001667585477731e-002	-1.117914e+000
1.002163395789719e-002	-2.609046e+000
1.002613510219536e-002	-3.562590e+000
1.003086754865980e-002	-4.205373e+000
1.003268491678063e-002	-4.360448e+000
1.003486747743486e-002	-4.478897e+000
1.003765468670567e-002	-4.586747e+000
1.004033929736876e-002	-4.657938e+000
1.004550928160518e-002	-4.735250e+000
1.005077785841870e-002	-4.759441e+000
1.005604643523221e-002	-4.778664e+000
1.006131501204573e-002	-4.792921e+000
1.006658358885924e-002	-4.802210e+000
1.007185216567275e-002	-4.806533e+000
1.007712074248627e-002	-4.805889e+000
1.008238931929978e-002	-4.800279e+000
1.500000000000000e-002	-4.800532e+000
1.500000219902077e-002	-4.800532e+000
1.500000659706232e-002	-4.800532e+000
1.500011701117423e-002	-4.797557e+000
1.500022742528615e-002	-4.787354e+000
1.500033783939806e-002	-4.769923e+000
1.500044825350997e-002	-4.745265e+000
1.500055866762189e-002	-4.713379e+000
1.500066908173380e-002	-4.674265e+000
1.500077949584572e-002	-4.627923e+000
1.500100000000000e-002	-4.542096e+000
1.500102205041543e-002	-4.533183e+000
1.500106615124629e-002	-4.515328e+000
1.500701123580548e-002	-2.104486e+000
1.500989995728912e-002	-9.734036e-001
1.501567740025639e-002	1.117298e+000
1.502063502009608e-002	2.608193e+000
1.502513619112354e-002	3.561645e+000
1.502986844578198e-002	4.204325e+000
1.503168567018101e-002	4.359369e+000
1.503386825402811e-002	4.477805e+000
1.503665537204974e-002	4.585640e+000
1.503933998135809e-002	4.656823e+000
1.504450993268819e-002	4.734128e+000
1.504977833226135e-002	4.758315e+000
1.505504673183451e-002	4.777536e+000
1.506031513140766e-002	4.791791e+000
1.506558353098082e-002	4.801080e+000
1.507085193055398e-002	4.805403e+000
1.507612033012714e-002	4.804759e+000
1.508138872970030e-002	4.799150e+000
1.972145790003439e-002	4.799403e+000
2.000100000000000e-002	4.799403e+000
2.000100109208887e-002	4.799403e+000
2.000100327626662e-002	4.799403e+000
2.000111220271263e-002	4.796855e+000
2.000122112915864e-002	4.787184e+000
2.000133005560465e-002	4.770390e+000
2.000143898205066e-002	4.746472e+000
2.000154790849667e-002	4.715431e+000
2.000165683494267e-002	4.677267e+000
2.000176576138868e-002	4.631979e+000
2.000200000000000e-002	4.541018e+000
2.000202342386113e-002	4.531548e+000
2.000207027158340e-002	4.512579e+000
2.000815580711019e-002	2.045569e+000
2.001116724774002e-002	8.714048e-001
2.001719012899967e-002	-1.270474e+000
2.002261274105800e-002	-2.833157e+000
2.002717073418139e-002	-3.722630e+000
2.003190785814733e-002	-4.287158e+000
2.003393044555677e-002	-4.434688e+000
2.003603395615357e-002	-4.531163e+000
2.003876677664186e-002	-4.620086e+000
2.004381521292123e-002	-4.716418e+000
2.005157377555565e-002	-4.774256e+000
2.006469853844049e-002	-4.785592e+000
2.007782330132533e-002	-4.794401e+000
2.009094806421017e-002	-4.800682e+000
2.010407282709502e-002	-4.804436e+000
2.011719758997986e-002	-4.805662e+000
2.013032235286470e-002	-4.804361e+000
2.014344711574954e-002	-4.800532e+000
2.500000000000000e-002	-4.800532e+000
2.500000064051442e-002	-4.800532e+000
2.500000192154325e-002	-4.800532e+000
2.500011636562744e-002	-4.797390e+000
2.500023080971164e-002	-4.786651e+000
2.500034525379584e-002	-4.768315e+000
2.500045969788004e-002	-4.742381e+000
2.500057414196424e-002	-4.708850e+000
2.500068858604843e-002	-4.667721e+000
2.500080303013263e-002	-4.618996e+000
2.500100000000000e-002	-4.542044e+000
2.500101969698674e-002	-4.534083e+000
2.500105909096021e-002	-4.518139e+000
2.500674616573606e-002	-2.210711e+000
2.500944830890745e-002	-1.146072e+000
2.501485259525022e-002	8.492607e-001
2.501956120256569e-002	2.331887e+000
2.502411468098563e-002	3.381125e+000
2.502889156626440e-002	4.103106e+000
2.503127403666881e-002	4.328867e+000
2.503334363367126e-002	4.453144e+000
2.503588478567516e-002	4.560203e+000
2.503864369730892e-002	4.640895e+000
2.504387451134189e-002	4.727521e+000
2.504890947987576e-002	4.753883e+000
2.505394444840962e-002	4.774864e+000
2.505897941694348e-002	4.790463e+000
2.506401438547734e-002	4.800680e+000
2.506904935401121e-002	4.805517e+000
2.507408432254507e-002	4.804971e+000
2.507911929107893e-002	4.799045e+000
2.516395598563477e-002	4.799403e+000
3.000100000000000e-002	4.799403e+000
3.000100226824521e-002	4.799403e+000
3.000100680473562e-002	4.799403e+000
3.000111572249698e-002	4.796600e+000
3.000122464025835e-002	4.786697e+000
3.000133355801972e-002	4.769693e+000
3.000144247578108e-002	4.745588e+000
3.000155139354245e-002	4.714382e+000
3.000166031130382e-002	4.676075e+000
3.000176922906519e-002	4.630668e+000
3.000200000000000e-002	4.541002e+000
3.000202307709348e-002	4.531672e+000
3.000206923128045e-002	4.512985e+000
3.000811767940489e-002	2.060799e+000
3.001109660767220e-002	8.979771e-001
3.001705446420682e-002	-1.226623e+000
3.002251445870986e-002	-2.795398e+000
3.002759521976620e-002	-3.776704e+000
3.003217600288020e-002	-4.309777e+000
3.003414115989331e-002	-4.446709e+000
3.003626280574457e-002	-4.540609e+000
3.003895909244544e-002	-4.625473e+000
3.004429001706621e-002	-4.722157e+000
3.004891387554629e-002	-4.750082e+000
3.005353773402636e-002	-4.772402e+000
3.005816159250644e-002	-4.789117e+000
3.006278545098651e-002	-4.800228e+000
3.006740930946659e-002	-4.805734e+000
3.007203316794667e-002	-4.805635e+000
3.007665702642675e-002	-4.799932e+000
3.500000000000000e-002	-4.800532e+000
3.500000215635812e-002	-4.800532e+000
3.500000646907434e-002	-4.800532e+000
3.500011668460707e-002	-4.797592e+000
3.500022690013980e-002	-4.787440e+000
3.500033711567253e-002	-4.770075e+000
3.500044733120526e-002	-4.745499e+000
3.500055754673799e-002	-4.713710e+000
3.500066776227072e-002	-4.674709e+000
3.500077797780345e-002	-4.628497e+000
3.500100000000000e-002	-4.542101e+000
3.500102220221965e-002	-4.533126e+000
3.500106660665896e-002	-4.515148e+000
3.500702636001508e-002	-2.098437e+000
3.500992785610689e-002	-9.628353e-001
3.501573084829050e-002	1.134207e+000
3.502070552589579e-002	2.625458e+000
3.502520594944773e-002	3.573170e+000
3.502993667609516e-002	4.210448e+000
3.503174203898812e-002	4.363122e+000
3.503392569471120e-002	4.480584e+000
3.503670440672130e-002	4.587232e+000
3.503939100781656e-002	4.657912e+000
3.504455929917349e-002	4.734610e+000
3.505488079146807e-002	4.785660e+000
3.512126547842800e-002	4.796457e+000
3.518765016538793e-002	4.804310e+000
3.525403485234787e-002	4.809218e+000
3.532041953930780e-002	4.811181e+000
3.538680422626774e-002	4.810200e+000
3.545318891322766e-002	4.806274e+000
3.551957360018760e-002	4.799403e+000
4.000100000000000e-002	4.799403e+000
4.000100063617468e-002	4.799403e+000
4.000100190852404e-002	4.799403e+000
4.000111599460834e-002	4.796309e+000
4.000123008069263e-002	4.785647e+000
4.000134416677693e-002	4.767418e+000
4.000145825286122e-002	4.741621e+000
4.000157233894552e-002	4.708257e+000
4.000168642502981e-002	4.667325e+000
4.000180051111411e-002	4.618825e+000
4.000200000000000e-002	4.540919e+000
4.000201994888859e-002	4.532856e+000
4.000205984666577e-002	4.516707e+000
4.000779641894114e-002	2.189410e+000
4.001052144170574e-002	1.116704e+000
4.001597148723492e-002	-8.899166e-001
4.002071434340969e-002	-2.373967e+000
4.002525618403568e-002	-3.408624e+000
4.003002447989573e-002	-4.119514e+000
4.003229142470451e-002	-4.331909e+000
4.003434560132305e-002	-4.454324e+000
4.003690233088105e-002	-4.561830e+000
4.003966585348170e-002	-4.642501e+000
4.004489390213225e-002	-4.728852e+000
4.004991877626096e-002	-4.755119e+000
4.005494365038966e-002	-4.776027e+000
4.005996852451837e-002	-4.791575e+000
4.006499339864708e-002	-4.801763e+000
4.007001827277579e-002	-4.806592e+000
4.007504314690449e-002	-4.806062e+000
4.008006802103320e-002	-4.800171e+000
4.500000000000000e-002	-4.800532e+000
4.500000215403197e-002	-4.800532e+000
4.500000646209590e-002	-4.800532e+000
4.500002525889105e-002	-4.800529e+000
4.500016450762091e-002	-4.790836e+000
4.500030375635075e-002	-4.772068e+000
4.500044300508060e-002	-4.744224e+000
4.500058225381045e-002	-4.707306e+000
4.500072150254030e-002	-4.661313e+000
4.500086075127015e-002	-4.606244e+000
4.500100000000000e-002	-4.542101e+000
4.500102220605844e-002	-4.533124e+000
4.500106661817534e-002	-4.515144e+000
4.500702674527017e-002	-2.098283e+000
4.500992856692224e-002	-9.625661e-001
4.501573221022637e-002	1.134638e+000
4.502070732359984e-002	2.625897e+000
4.502520773274204e-002	3.573464e+000
4.502993842292014e-002	4.210604e+000
4.503174348535062e-002	4.363217e+000
4.503392716844591e-002	4.480655e+000
4.503670566751753e-002	4.587273e+000
4.503939231847026e-002	4.657939e+000
4.504456056774017e-002	4.734622e+000
4.504982161378399e-002	4.758613e+000
4.505508265982782e-002	4.777680e+000
4.506034370587165e-002	4.791822e+000
4.506560475191547e-002	4.801040e+000
4.507086579795930e-002	4.805334e+000
4.507612684400313e-002	4.804704e+000
4.508138789004695e-002	4.799149e+000
5.000100000000000e-002	4.799403e+000
5.000100023031958e-002	4.799403e+000
5.000100069095873e-002	4.799403e+000
5.000114344939319e-002	4.789720e+000
5.000128620782766e-002	4.770936e+000
5.000142896626213e-002	4.743050e+000
5.000157172469660e-002	4.706063e+000
5.000171448313107e-002	4.659973e+000
5.000185724156554e-002	4.604782e+000
5.000200000000001e-002	4.540489e+000
5.000200474938538e-002	4.538572e+000
5.000201424815614e-002	4.534737e+000
5.000789223145814e-002	2.150587e+000
5.001071654792046e-002	1.041951e+000
5.001636518084510e-002	-1.018486e+000
5.002122929168110e-002	-2.508104e+000
5.002573579921798e-002	-3.494951e+000
5.003047827671470e-002	-4.169248e+000
5.003236820469144e-002	-4.338796e+000
5.003453947710253e-002	-4.462635e+000
5.003737050336585e-002	-4.577245e+000
5.004006947134233e-002	-4.652019e+000
5.004526540068547e-002	-4.732812e+000
5.005036374979573e-002	-4.757778e+000
5.005546209890599e-002	-4.777632e+000
5.006056044801625e-002	-4.792373e+000
5.006565879712652e-002	-4.802002e+000
5.007075714623678e-002	-4.806519e+000
5.007585549534704e-002	-4.805924e+000
5.008095384445730e-002	-4.800216e+000
5.214342656175535e-002	-4.800532e+000
5.500000000000000e-002	-4.800532e+000
5.500000220673567e-002	-4.800532e+000
5.500000662020702e-002	-4.800532e+000
5.500011706057140e-002	-4.797552e+000
5.500022750093579e-002	-4.787341e+000
5.500033794130018e-002	-4.769902e+000
5.500044838166456e-002	-4.745232e+000
5.500055882202895e-002	-4.713333e+000
5.500066926239334e-002	-4.674203e+000
5.500077970275773e-002	-4.627844e+000
5.500100000000000e-002	-4.542095e+000
5.500102202972423e-002	-4.533190e+000
5.500106608917268e-002	-4.515353e+000
5.500700919108070e-002	-2.105304e+000
