time	V(n001)	V(n002)	V(n003)
0.000000000000000e+000	2.500000e+000	2.845622e-002	9.629676e-001
2.607690141640366e-004	2.705530e+000	2.845624e-002	9.629685e-001
5.215380283280732e-004	2.906506e+000	2.845625e-002	9.629694e-001
7.823070424921098e-004	3.102927e+000	2.845626e-002	9.629703e-001
1.043076056656146e-003	3.294795e+000	2.845628e-002	9.629712e-001
1.303845070820183e-003	3.482109e+000	2.845629e-002	9.629720e-001
1.564614084984220e-003	3.664869e+000	2.845630e-002	9.629728e-001
1.825383099148255e-003	3.843074e+000	2.845631e-002	9.629735e-001
2.359310785573594e-003	4.175516e+000	2.845633e-002	9.629750e-001
2.917539945767060e-003	4.467691e+000	2.845635e-002	9.629763e-001
3.507215340728385e-003	4.710375e+000	2.845637e-002	9.629773e-001
4.115813429344286e-003	4.892654e+000	2.845638e-002	9.629781e-001
4.438276952233079e-003	4.954278e+000	2.845639e-002	9.629784e-001
4.790549612872789e-003	4.985240e+000	2.845639e-002	9.629785e-001
5.222056226114434e-003	4.982271e+000	2.845639e-002	9.629785e-001
5.661465129048210e-003	4.927489e+000	2.845638e-002	9.629783e-001
6.374091152944437e-003	4.726558e+000	2.845637e-002	9.629774e-001
7.510892002871574e-003	4.227272e+000	2.845634e-002	9.629752e-001
8.180428023547726e-003	3.839865e+000	2.845631e-002	9.629735e-001
8.738483750837576e-003	3.458668e+000	2.845629e-002	9.629718e-001
9.721530871973003e-003	2.717340e+000	2.845624e-002	9.629686e-001
1.074391965086831e-002	1.932588e+000	2.845148e-002	9.629632e-001
1.160278886449444e-002	1.295917e+000	2.845119e-002	9.629603e-001
1.170480610320106e-002	1.224816e+000	2.858419e-002	9.630138e-001
1.190884058061431e-002	1.089308e+000	2.958075e-002	9.634167e-001
1.194556058911037e-002	1.065437e+000	3.120962e-002	9.640760e-001
1.201900060610249e-002	1.018495e+000	3.833964e-002	9.669625e-001
1.202074501212811e-002	1.017387e+000	3.867332e-002	9.670975e-001
1.202423382417934e-002	1.015182e+000	3.969578e-002	9.675115e-001
1.203121144828181e-002	1.010780e+000	4.235791e-002	9.685892e-001
1.204516669648674e-002	1.001988e+000	4.921764e-002	9.713663e-001
1.204763379690802e-002	1.000436e+000	5.090882e-002	9.720510e-001
