Frequenz,dB,Phase
1.00000000000000e+000,1.47543822971787e+001,1.79997066902621e+002
1.25892541179417e+000,1.47543822909713e+001,1.79996307449176e+002
1.58489319246111e+000,1.47543822811333e+001,1.79995351353937e+002
1.99526231496888e+000,1.47543822655410e+001,1.79994147701348e+002
2.51188643150958e+000,1.47543822408289e+001,1.79992632392523e+002
3.16227766016838e+000,1.47543822016630e+001,1.79990724731750e+002
3.98107170553497e+000,1.47543821395891e+001,1.79988323129152e+002
5.01187233627272e+000,1.47543820412086e+001,1.79985299690666e+002
6.30957344480194e+000,1.47543818852861e+001,1.79981493407231e+002
7.94328234724282e+000,1.47543816381655e+001,1.79976701580503e+002
1.00000000000000e+001,1.47543812465058e+001,1.79970669028488e+002
1.25892541179417e+001,1.47543806257671e+001,1.79963074496303e+002
1.58489319246111e+001,1.47543796419627e+001,1.79953513548429e+002
1.99526231496888e+001,1.47543780827383e+001,1.79941477031548e+002
2.51188643150958e+001,1.47543756115353e+001,1.79926323961282e+002
3.16227766016838e+001,1.47543716949453e+001,1.79907247389433e+002
3.98107170553498e+001,1.47543654875757e+001,1.79883231435049e+002
5.01187233627273e+001,1.47543556495760e+001,1.79852997193037e+002
6.30957344480194e+001,1.47543400574426e+001,1.79814934643708e+002
7.94328234724283e+001,1.47543153456906e+001,1.79767016945107e+002
1.00000000000000e+002,1.47542761804893e+001,1.79706692559627e+002
1.25892541179417e+002,1.47542141085479e+001,1.79630749501705e+002
1.58489319246112e+002,1.47541157329572e+001,1.79535144540005e+002
1.99526231496888e+002,1.47539598226915e+001,1.79414788383625e+002
2.51188643150958e+002,1.47537127329718e+001,1.79263275662264e+002
3.16227766016838e+002,1.47533211507861e+001,1.79072545818506e+002
3.98107170553498e+002,1.47527006067452e+001,1.78832457845715e+002
5.01187233627273e+002,1.47517172912671e+001,1.78530258201818e+002
6.30957344480194e+002,1.47501592945561e+001,1.78149917499914e+002
7.94328234724283e+002,1.47476911739314e+001,1.77671308480015e+002
1.00000000000000e+003,1.47437823208008e+001,1.77069197022010e+002
1.25892541179417e+003,1.47375943623504e+001,1.76312023205765e+002
1.58489319246112e+003,1.47278050302190e+001,1.75360468019161e+002
1.99526231496888e+003,1.47123347839205e+001,1.74165847576695e+002
2.51188643150959e+003,1.46879277748352e+001,1.72668477253806e+002
3.16227766016839e+003,1.46495224546427e+001,1.70796349180892e+002
3.98107170553498e+003,1.45893373817295e+001,1.68464839033549e+002
5.01187233627273e+003,1.44956169059198e+001,1.65578783432968e+002
6.30957344480195e+003,1.43510786876570e+001,1.62039156187277e+002
7.94328234724283e+003,1.41313640190233e+001,1.57757403826066e+002
1.00000000000000e+004,1.38042901311962e+001,1.52680140177119e+002
1.25892541179417e+004,1.33313333979327e+001,1.46823022252327e+002
1.58489319246112e+004,1.26729055371034e+001,1.40303192880203e+002
1.99526231496889e+004,1.17974801874342e+001,1.33348386972770e+002
2.51188643150959e+004,1.06912659819483e+001,1.26261830151047e+002
3.16227766016839e+004,9.36271712034346e+000,1.19347408413974e+002
3.98107170553498e+004,7.83858235390197e+000,1.12832037737139e+002
5.01187233627274e+004,6.15404039704898e+000,1.06825027392312e+002
6.30957344480195e+004,4.34259675053897e+000,1.01324187956214e+002
7.94328234724284e+004,2.42954124406072e+000,9.62508634930018e+001
1.00000000000000e+005,4.29453640011891e-001,9.14925856365655e+001
1.25892541179417e+005,-1.65323687432008e+000,8.69424665716547e+001
1.58489319246112e+005,-3.82123173930324e+000,8.25320739100646e+001
1.99526231496889e+005,-6.07871777347026e+000,7.82524727016372e+001
2.51188643150959e+005,-8.42345513898840e+000,7.41494194466212e+001
3.16227766016839e+005,-1.08395955825447e+001,7.02766299408551e+001
3.98107170553499e+005,-1.32970006944925e+001,6.66130663212542e+001
5.01187233627274e+005,-1.57608090879770e+001,6.29892430332276e+001
6.30957344480196e+005,-1.82071504797942e+001,5.90768581165107e+001
7.94328234724285e+005,-2.06354721387958e+001,5.44488386056814e+001
1.00000000000000e+006,-2.30720301456940e+001,4.86643037163492e+001
1.25892541179417e+006,-2.55670686481689e+001,4.13349996969491e+001
1.58489319246112e+006,-2.81906824247493e+001,3.21695117310554e+001
1.99526231496889e+006,-3.10288159236888e+001,2.10164328422459e+001
2.51188643150959e+006,-3.41766560844209e+001,7.91860252546397e+000
3.16227766016839e+006,-3.77260352510909e+001,-6.83891997582528e+000
3.98107170553499e+006,-4.17480414212417e+001,-2.27268728267258e+001
5.01187233627275e+006,-4.62795425702504e+001,-3.90361881451158e+001
6.30957344480196e+006,-5.13251777164358e+001,-5.49601241773270e+001
7.94328234724285e+006,-5.68796949166962e+001,-6.95773919887838e+001
1.00000000000000e+007,-6.29666317327863e+001,-8.15794571589277e+001
