time	Ue Ua
0.000000000000000e+000	0.000000e+000	-9.852713e-004
6.277438636843950e-007	1.255488e-005	-1.001310e-003
1.255487727368790e-006	2.510975e-005	-1.062707e-003
1.883231591053185e-006	3.766463e-005	-1.169463e-003
2.510975454737580e-006	5.021951e-005	-1.321578e-003
3.138719318421975e-006	6.277438e-005	-1.519051e-003
3.766463182106370e-006	7.532926e-005	-1.761883e-003
4.394207045790764e-006	8.788414e-005	-2.050073e-003
7.054564291697523e-006	1.410913e-004	-3.553697e-003
1.073770826906270e-005	2.147542e-004	-6.202026e-003
1.466978252903879e-005	2.933957e-004	-9.567859e-003
1.939987132097247e-005	3.879974e-004	-1.409231e-002
2.487733364380013e-005	4.975467e-004	-1.968376e-002
3.187733933147092e-005	6.375468e-004	-2.710198e-002
9.101784169702887e-005	1.820357e-003	-9.165437e-002
1.501583440625869e-004	3.003167e-003	-1.562343e-001
2.092988464281448e-004	4.185977e-003	-2.208419e-001
2.684393487937028e-004	5.368787e-003	-2.854771e-001
3.275798511592607e-004	6.551597e-003	-3.501398e-001
3.867203535248187e-004	7.734407e-003	-4.148301e-001
4.458608558903766e-004	8.917217e-003	-4.795480e-001
5.000000000000000e-003	1.000000e-001	-5.458700e+000
5.007363569997155e-003	9.985273e-002	-5.461308e+000
5.010903676989066e-003	9.978192e-002	-5.459591e+000
5.014443783980976e-003	9.971112e-002	-5.457480e+000
5.017983890972887e-003	9.964032e-002	-5.454978e+000
5.021523997964798e-003	9.956952e-002	-5.452082e+000
5.025064104956708e-003	9.949872e-002	-5.448794e+000
5.028604211948618e-003	9.942792e-002	-5.445114e+000
5.032144318940529e-003	9.935711e-002	-5.441041e+000
1.000000000000000e-002	0.000000e+000	-9.893174e-003
1.000219666267230e-002	4.393325e-005	-8.700642e-003
1.000658998801690e-002	1.317998e-004	-7.422152e-003
1.000819889485738e-002	1.639779e-004	-7.505352e-003
1.000978453413621e-002	1.956907e-004	-8.048052e-003
1.001123219651188e-002	2.246439e-004	-8.738590e-003
1.001273280193408e-002	2.546560e-004	-9.644395e-003
1.001573401277849e-002	3.146802e-004	-1.182500e-002
1.001944931273101e-002	3.889863e-004	-1.495724e-002
1.002439998597316e-002	4.879997e-004	-1.962844e-002
1.002968544444360e-002	5.937089e-004	-2.498217e-002
1.004474217223607e-002	8.948434e-004	-4.106496e-002
1.500000000000002e-002	1.000000e-001	-5.458700e+000
1.500710041644701e-002	9.985799e-002	-5.461061e+000
1.501227902949449e-002	9.975442e-002	-5.459248e+000
1.502106438631067e-002	9.957872e-002	-5.452164e+000
1.503409100362989e-002	9.931818e-002	-5.438566e+000
1.504711762094910e-002	9.905765e-002	-5.424816e+000
1.506014423826831e-002	9.879711e-002	-5.410914e+000
1.507317085558753e-002	9.853658e-002	-5.396860e+000
1.508619747290674e-002	9.827605e-002	-5.382655e+000
1.509922409022595e-002	9.801552e-002	-5.368298e+000
1.511225070754516e-002	9.775499e-002	-5.353789e+000
2.000000000000002e-002	0.000000e+000	-9.893148e-003
2.000223624778176e-002	4.472495e-005	-8.697261e-003
2.000670874334523e-002	1.341749e-004	-7.445312e-003
2.000835812937705e-002	1.671626e-004	-7.554996e-003
2.001000241706729e-002	2.000483e-004	-8.145778e-003
2.001148913012957e-002	2.297826e-004	-8.881042e-003
2.001303853714118e-002	2.607707e-004	-9.843248e-003
2.001613735116439e-002	3.227470e-004	-1.214184e-002
2.001986025029092e-002	3.972050e-004	-1.532628e-002
2.002497378348837e-002	4.994757e-004	-2.019654e-002
2.003030521896670e-002	6.061044e-004	-2.562625e-002
2.004573771291448e-002	9.147543e-004	-4.214518e-002
2.500000000000004e-002	1.000000e-001	-5.458700e+000
2.500789705121003e-002	9.984206e-002	-5.461176e+000
2.501173246900245e-002	9.976535e-002	-5.459095e+000
2.501556788679486e-002	9.968864e-002	-5.456618e+000
2.501940330458727e-002	9.961194e-002	-5.453744e+000
2.502323872237969e-002	9.953523e-002	-5.450475e+000
2.502707414017210e-002	9.945852e-002	-5.446809e+000
2.503090955796451e-002	9.938181e-002	-5.442747e+000
2.503474497575692e-002	9.930510e-002	-5.438288e+000
3.000000000000004e-002	2.775558e-017	-9.893117e-003
3.000281119774437e-002	5.622395e-005	-8.698451e-003
3.000843359323303e-002	1.686719e-004	-7.956681e-003
3.001071234958128e-002	2.142470e-004	-8.535791e-003
3.001305496325043e-002	2.610993e-004	-9.854032e-003
3.001494729286038e-002	2.989458e-004	-1.116457e-002
3.001714841273845e-002	3.429683e-004	-1.292688e-002
3.002095381260348e-002	4.190762e-004	-1.630923e-002
3.002494347275224e-002	4.988695e-004	-2.015821e-002
3.003105364168810e-002	6.210728e-004	-2.641550e-002
3.004718218341441e-002	9.436437e-004	-4.371604e-002
3.500000000000006e-002	1.000000e-001	-5.458700e+000
3.500694677555017e-002	9.986106e-002	-5.461392e+000
3.501018381416703e-002	9.979632e-002	-5.459996e+000
3.501342085278388e-002	9.973159e-002	-5.458223e+000
3.501665789140074e-002	9.966685e-002	-5.456072e+000
3.501989493001759e-002	9.960211e-002	-5.453544e+000
3.502313196863445e-002	9.953736e-002	-5.450639e+000
3.502636900725131e-002	9.947262e-002	-5.447356e+000
3.502960604586816e-002	9.940788e-002	-5.443696e+000
4.000000000000006e-002	0.000000e+000	-9.893145e-003
4.000249381053687e-002	4.987621e-005	-8.686595e-003
4.000748143161047e-002	1.496286e-004	-7.635030e-003
4.000939962873620e-002	1.879926e-004	-7.934435e-003
4.001138278057842e-002	2.276556e-004	-8.845059e-003
4.001308387179024e-002	2.616774e-004	-9.855949e-003
4.001493095893052e-002	2.986192e-004	-1.117867e-002
4.001862513321108e-002	3.725027e-004	-1.421689e-002
4.002235921566731e-002	4.471843e-004	-1.764086e-002
4.002794786577656e-002	5.589573e-004	-2.319818e-002
4.003381467672239e-002	6.762935e-004	-2.931795e-002
4.006609630270406e-002	1.321926e-003	-6.434738e-002
4.500020290880034e-002	9.999594e-002	-5.458914e+000
4.500207419930152e-002	9.995852e-002	-5.460266e+000
4.500394548980271e-002	9.992109e-002	-5.461151e+000
4.500581678030389e-002	9.988366e-002	-5.461571e+000
4.500768807080507e-002	9.984624e-002	-5.461524e+000
4.500955936130625e-002	9.980881e-002	-5.461011e+000
4.501143065180744e-002	9.977139e-002	-5.460032e+000
4.501330194230862e-002	9.973396e-002	-5.458587e+000
4.502590369757510e-002	9.948193e-002	-5.447489e+000
4.515411040134548e-002	9.691779e-002	-5.307797e+000
4.528231710511585e-002	9.435366e-002	-5.167979e+000
4.541052380888622e-002	9.178952e-002	-5.028035e+000
4.553873051265659e-002	8.922539e-002	-4.887964e+000
4.566693721642696e-002	8.666125e-002	-4.747767e+000
4.579514392019734e-002	8.409712e-002	-4.607444e+000
4.592335062396771e-002	8.153298e-002	-4.466994e+000
5.000000000000009e-002	0.000000e+000	-9.893171e-003
5.000200585668975e-002	4.011713e-005	-8.723754e-003
5.000601757006908e-002	1.203514e-004	-7.311055e-003
5.000728272421293e-002	1.456545e-004	-7.268066e-003
5.000855512334460e-002	1.711025e-004	-7.573972e-003
5.000977382664149e-002	1.954765e-004	-8.020401e-003
5.001098351523099e-002	2.196703e-004	-8.614307e-003
5.001340289241001e-002	2.680579e-004	-1.012814e-002
5.001709322021937e-002	3.418644e-004	-1.292881e-002
5.002116642813577e-002	4.233286e-004	-1.651782e-002
5.002621574758477e-002	5.243149e-004	-2.143134e-002
5.003186251767092e-002	6.372504e-004	-2.725547e-002
5.004829931581845e-002	9.659863e-004	-4.492927e-002
5.500000000000010e-002	1.000000e-001	-5.458700e+000
5.500797185790644e-002	9.984057e-002	-5.461155e+000
5.501185468550263e-002	9.976291e-002	-5.459018e+000
5.501573751309882e-002	9.968525e-002	-5.456483e+000
5.501962034069501e-002	9.960759e-002	-5.453552e+000
5.502350316829119e-002	9.952993e-002	-5.450223e+000
5.502738599588738e-002	9.945228e-002	-5.446497e+000
5.503126882348356e-002	9.937462e-002	-5.442375e+000
5.503515165107975e-002	9.929696e-002	-5.437855e+000
6.000000000000011e-002	0.000000e+000	-9.893120e-003
6.000271979072411e-002	5.439582e-005	-8.692362e-003
6.000815937217213e-002	1.631874e-004	-7.854686e-003
6.001033055580509e-002	2.066111e-004	-8.347819e-003
6.001257439222005e-002	2.514879e-004	-9.547806e-003
6.001442009231001e-002	2.884018e-004	-1.077803e-002
6.001651900898709e-002	3.303802e-004	-1.241822e-002
6.002071684234123e-002	4.143369e-004	-1.609514e-002
6.002449768728961e-002	4.899537e-004	-1.971021e-002
6.003033828275561e-002	6.067657e-004	-2.566655e-002
6.004609928203825e-002	9.219857e-004	-4.253978e-002
6.500000000000013e-002	1.000000e-001	-5.458700e+000
6.500798347767707e-002	9.984033e-002	-5.461152e+000
6.501187369566414e-002	9.976253e-002	-5.459006e+000
6.501576391365120e-002	9.968472e-002	-5.456462e+000
6.501965413163827e-002	9.960692e-002	-5.453522e+000
6.502354434962533e-002	9.952911e-002	-5.450184e+000
6.502743456761240e-002	9.945131e-002	-5.446449e+000
6.503132478559946e-002	9.937350e-002	-5.442317e+000
6.503521500358653e-002	9.929570e-002	-5.437788e+000
7.000000000000012e-002	1.110223e-016	-9.893121e-003
7.000270513207331e-002	5.410264e-005	-8.691583e-003
