time	Ue	Ua
0.000000000000000e+000	-1.000000e-001	5.465638e+000
1.623140451472452e-006	-9.993507e-002	5.465212e+000
3.246280902944904e-006	-9.987015e-002	5.464384e+000
4.869421354417357e-006	-9.980522e-002	5.463152e+000
6.492561805889809e-006	-9.974030e-002	5.461516e+000
8.115702257362260e-006	-9.967537e-002	5.459477e+000
9.738842708834713e-006	-9.961045e-002	5.457035e+000
1.136198316030716e-005	-9.954552e-002	5.454189e+000
2.017391919900977e-005	-9.919304e-002	5.437881e+000
4.165240688846068e-005	-9.833390e-002	5.392272e+000
5.000000000000000e-003	1.000000e-001	-5.449792e+000
5.001509921662360e-003	9.993961e-002	-5.452333e+000
5.003019843324720e-003	9.987921e-002	-5.454172e+000
5.004529764987080e-003	9.981881e-002	-5.455309e+000
5.006039686649439e-003	9.975841e-002	-5.455744e+000
5.007549608311799e-003	9.969802e-002	-5.455477e+000
5.009059529974159e-003	9.963762e-002	-5.454508e+000
5.010569451636518e-003	9.957722e-002	-5.452837e+000
5.016805279599731e-003	9.932779e-002	-5.444305e+000
5.025758416459314e-003	9.896966e-002	-5.427666e+000
5.048024162874859e-003	9.807903e-002	-5.380320e+000
1.000000000000000e-002	-1.000000e-001	5.447822e+000
1.000146314611606e-002	-9.994148e-002	5.450313e+000
1.000292629223212e-002	-9.988295e-002	5.452135e+000
1.000438943834817e-002	-9.982443e-002	5.453286e+000
1.000585258446423e-002	-9.976590e-002	5.453766e+000
1.000731573058029e-002	-9.970737e-002	5.453576e+000
1.000877887669635e-002	-9.964884e-002	5.452716e+000
1.001024202281240e-002	-9.959032e-002	5.451185e+000
1.001632589310768e-002	-9.934697e-002	5.443110e+000
1.002506250033885e-002	-9.899750e-002	5.427086e+000
1.004653274508867e-002	-9.813869e-002	5.381592e+000
1.500000000000002e-002	1.000000e-001	-5.449792e+000
1.500152966290753e-002	9.993882e-002	-5.452353e+000
1.500305932581504e-002	9.987763e-002	-5.454198e+000
1.500458898872254e-002	9.981644e-002	-5.455328e+000
1.500611865163005e-002	9.975526e-002	-5.455742e+000
1.500764831453756e-002	9.969407e-002	-5.455441e+000
1.500917797744507e-002	9.963288e-002	-5.454425e+000
1.501070764035258e-002	9.957170e-002	-5.452693e+000
1.501699067889307e-002	9.932037e-002	-5.443995e+000
1.502599129768156e-002	9.896035e-002	-5.427195e+000
1.504820768260291e-002	9.807169e-002	-5.379921e+000
2.000000000000002e-002	-1.000000e-001	5.447822e+000
2.000147900724623e-002	-9.994084e-002	5.450337e+000
2.000295801449244e-002	-9.988168e-002	5.452169e+000
2.000443702173865e-002	-9.982252e-002	5.453318e+000
